,station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,nearby_distance,x_ride_code_support,cross_street,last_updated,ttl
152,158,"RAMBLA DE PRIM, 19",ELECTRICBIKESTATION,41.4116634,2.2183313,4,"RAMBLA DE PRIM, 19",8019,27,True,1000,True,,1661983179,2
153,159,"AV. DIAGONAL, 26",ELECTRICBIKESTATION,41.4110822,2.2163136,4,"AV. DIAGONAL, 26",8019,32,True,1000,True,,1661983179,2
154,161,"C/ RAMON TURRÓ, 91",ELECTRICBIKESTATION,41.3953011,2.1965965,4,"C/ RAMON TURRÓ, 91",8005,27,True,1000,True,,1661983179,2
155,162,"C/ RAMON TURRÓ, 292",ELECTRICBIKESTATION,41.4038559,2.2084257,3,"C/ RAMON TURRÓ, 292",8005,27,True,1000,True,,1661983179,2
156,163,"AV. ICÀRIA, 202",ELECTRICBIKESTATION,41.3942108,2.2008756,3,"AV. ICÀRIA, 202",8005,27,True,1000,True,,1661983179,2
157,164,"C/ INDEPENDÈNCIA, 379",ELECTRICBIKESTATION,41.4118378,2.1778852,46,"C/ INDEPENDÈNCIA, 379",8026,27,True,1000,True,,1661983179,2
158,165,"C/ DEL DOCTOR TRUETA, 222",ELECTRICBIKESTATION,41.3992169,2.2041415,3,"C/ DEL DOCTOR TRUETA, 222",8005,27,True,1000,True,,1661983179,2
159,166,"C/ BILBAO, 2",ELECTRICBIKESTATION,41.4008312,2.206645,3,"C/ BILBAO, 2",8005,27,True,1000,True,,1661983179,2
160,167,"C/ BAC DE RODA, 11",ELECTRICBIKESTATION,41.4023354,2.2105777,3,"C/ BAC DE RODA, 11",8005,21,True,1000,True,,1661983179,2
161,168,SELVA DE MAR / PG. DEL TAULAT,ELECTRICBIKESTATION,41.4053697,2.2135818,5,SELVA DE MAR / PG. DEL TAULAT,8019,26,True,1000,True,,1661983179,2
162,170,"AV. LITORAL, 40 (D)",ELECTRICBIKESTATION,41.3896642,2.1999572,6,"AV. LITORAL, 40 (D)",8005,54,True,1000,True,,1661983179,2
163,171,"PG. MARÍTIM NOVA ICÀRIA, 83 (D)",ELECTRICBIKESTATION,41.3919877,2.2037136,5,"PG. MARÍTIM NOVA ICÀRIA, 83 (D)",8005,52,True,1000,True,,1661983179,2
164,173,"AV.LITORAL, 84",ELECTRICBIKESTATION,41.3979002,2.2088454,8,"AV.LITORAL, 84",8005,27,True,1000,True,,1661983179,2
165,174,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",ELECTRICBIKESTATION,41.4008744,2.2099336,6,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",8005,27,True,1000,True,,1661983179,2
166,175,"C/ LLULL, 309",ELECTRICBIKESTATION,41.4065291,2.2091221,4,"C/ LLULL, 309",8019,27,True,1000,True,,1661983179,2
167,176,"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",ELECTRICBIKESTATION,41.4023621,2.2119049,6,"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",8019,31,True,1000,True,,1661983179,2
168,177,"C/ ROSSELLÓ, 557",ELECTRICBIKESTATION,41.4110754,2.1809764,33,"C/ ROSSELLÓ, 557",8026,34,True,1000,True,,1661983179,2
169,178,"PG. DE GARCIA FÀRIA, 85",ELECTRICBIKESTATION,41.4053649,2.2162094,7,"PG. DE GARCIA FÀRIA, 85",8019,27,True,1000,True,,1661983179,2
170,179,"PG. ZONA FRANCA, 244",ELECTRICBIKESTATION,41.36352,2.1369015,9,"PG. ZONA FRANCA, 244",8038,16,True,1000,True,,1661983179,2
171,180,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",ELECTRICBIKESTATION,41.3675574,2.1388216,14,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",8014,51,True,1000,True,,1661983179,2
172,182,"GRAN VIA DE LES CORTS CATALANES, 273",ELECTRICBIKESTATION,41.3714775,2.1439304,18,"GRAN VIA DE LES CORTS CATALANES, 273",8014,33,True,1000,True,,1661983179,2
173,183,"C/ GAVÀ, 1",ELECTRICBIKESTATION,41.3723682,2.1419494,18,"C/ GAVÀ, 1",8014,30,True,1000,True,,1661983179,2
174,184,"C/ QUETZAL, 22-24",ELECTRICBIKESTATION,41.3675438,2.1342316,22,"C/ QUETZAL, 22-24",8014,27,True,1000,True,,1661983179,2
175,185,"C/GAVÀ, 81",ELECTRICBIKESTATION,41.3703717,2.1389439,20,"C/GAVÀ, 81",8014,17,True,1000,True,,1661983179,2
176,186,"C/CONSELL DE CENT, 6",ELECTRICBIKESTATION,41.3755503,2.1439036,27,"C/CONSELL DE CENT, 6",8014,26,True,1000,True,,1661983179,2
177,187,"C/ DE SANT PAU, 89 - 97",ELECTRICBIKESTATION,41.3768806,2.1698206,5,"C/ DE SANT PAU, 89 - 97",8001,19,True,1000,True,,1661983179,2
178,188,PG. SANT ANTONI /PL. SANTS,ELECTRICBIKESTATION,41.3756948,2.1358571,30,PG. SANT ANTONI /PL. SANTS,8014,27,True,1000,True,,1661983179,2
179,189,"C/ BRUC, 130",ELECTRICBIKESTATION,41.3969839,2.1661852,34,"C/ BRUC, 130",8037,28,True,1000,True,,1661983179,2
180,190,"AV. LITORAL, 72",ELECTRICBIKESTATION,41.3961412,2.2078439,6,"AV. LITORAL, 72",8005,29,True,1000,True,,1661983179,2
181,191,"C/ ROCAFORT, 152",ELECTRICBIKESTATION,41.3824848,2.1493799,15,"C/ ROCAFORT, 152",8015,28,True,1000,True,,1661983179,2
182,192,"C/ JOAN GÜELL, 50",ELECTRICBIKESTATION,41.3786364,2.1335494,33,"C/ JOAN GÜELL, 50",8028,21,True,1000,True,,1661983179,2
183,193,"C/ FÍGOLS, 1",ELECTRICBIKESTATION,41.3812979,2.1289917,41,"C/ FÍGOLS, 1",8028,27,True,1000,True,,1661983179,2
184,194,"C/ JOAN GÜELL, 98",ELECTRICBIKESTATION,41.3812001,2.1323612,38,"C/ JOAN GÜELL, 98",8028,24,True,1000,True,,1661983179,2
185,195,"C/ VALLESPIR, 130",ELECTRICBIKESTATION,41.3821371,2.1354149,38,"C/ VALLESPIR, 130",8014,27,True,1000,True,,1661983179,2
186,196,"C/ BERLÍN, 38",ELECTRICBIKESTATION,41.3832609,2.1392662,38,"C/ BERLÍN, 38",8029,27,True,1000,True,,1661983179,2
187,197,"C/ GELABERT, 1",ELECTRICBIKESTATION,41.3871579,2.1410945,47,"C/ GELABERT, 1",8029,27,True,1000,True,,1661983179,2
188,198,"C/ VALLESPIR, 194",ELECTRICBIKESTATION,41.3847113,2.1334379,48,"C/ VALLESPIR, 194",8014,27,True,1000,True,,1661983179,2
189,199,"C/ MEJÍA LEQUERICA, 2",ELECTRICBIKESTATION,41.3819739,2.1268625,47,"C/ MEJÍA LEQUERICA, 2",8028,27,True,1000,True,,1661983179,2
